woy,Hemisphere,age_group,within_variation,sd,se,ci
16,Northern,10-19,0.487465025943889,0.09549933920624,0.000411711582086069,0.000806958026413756
16,Northern,20-29,0.486969830708412,0.0990594582445961,0.000299944775040548,0.000587887480296973
16,Northern,30-39,0.492315566425133,0.106331967781629,0.000413111830278328,0.000809699101852346
16,Northern,40-49,0.499085559726004,0.107534842873343,0.000632919357811662,0.00124055116327492
16,Northern,Over 50,0.491161341924448,0.110218359641595,0.000371250818765906,0.000727648226405167
16,Southern,10-19,0.508024135639076,0.0888739431883621,0.000552844490292928,0.00108360604296509
16,Southern,20-29,0.509959059198712,0.093191632635556,0.00039242495736562,0.000769155291176354
16,Southern,30-39,0.51999600483924,0.10095694052823,0.000570560343062743,0.00111832095757761
16,Southern,40-49,0.521121089566562,0.101552818932224,0.00100404728545289,0.00196812940022215
16,Southern,Over 50,0.509293376742909,0.10480451171733,0.000670557498367954,0.00131433367191186
17,Northern,10-19,0.486351735525373,0.0948763312130224,0.000406394366141073,0.000796536010391914
17,Northern,20-29,0.486831364239574,0.099476424902904,0.000300391837400773,0.000588763680814952
17,Northern,30-39,0.49357638292038,0.107195543517278,0.00041429331622966,0.000812014659616883
17,Northern,40-49,0.500774932260974,0.108242412614857,0.000633354052498589,0.00124140257717792
17,Northern,Over 50,0.491021903262325,0.110722514617804,0.000370601778571272,0.000726375988365379
17,Southern,10-19,0.508886845932789,0.088385518971383,0.000545579229017988,0.00106936495831217
17,Southern,20-29,0.509427769602975,0.0928424133796998,0.000388102045188678,0.000760682119779843
17,Southern,30-39,0.518721325012596,0.101196928092546,0.000567412825345399,0.00111215102315084
17,Southern,40-49,0.518063199469841,0.104355435974872,0.0010240772941821,0.00200738861836531
17,Southern,Over 50,0.508489446552938,0.106844036526014,0.000681572972245807,0.00133592428050676
