doy,Hemisphere,within_variation,sd,se,ci
130,Northern,0.842819597,0.874936794,0.002009677,0.00393892
130,Southern,0.934945822,0.861600406,0.003985987,0.007812594
131,Northern,0.839293109,0.8733916,0.001982499,0.003885651
131,Southern,0.940330987,0.858752704,0.003927433,0.007697821
132,Northern,0.849379778,0.870503411,0.001958939,0.003839474
132,Southern,0.938061113,0.849950535,0.003874635,0.007594337
133,Northern,0.862508966,0.86498268,0.001936976,0.003796425
133,Southern,0.950130493,0.846032643,0.003850259,0.007546559
134,Northern,0.880383542,0.846532961,0.001880451,0.003685638
134,Southern,0.974560286,0.832348934,0.003711002,0.007273606
135,Northern,0.88807353,0.843722823,0.001936326,0.003795153
135,Southern,0.999540886,0.818617068,0.003778895,0.007406688
136,Northern,0.851827696,0.869931984,0.00205458,0.00402693
136,Southern,0.963395567,0.860781989,0.004155556,0.008144969
137,Northern,0.836631957,0.873822752,0.00198262,0.003885888
137,Southern,0.941748613,0.851205999,0.003909389,0.007662457
138,Northern,0.843021295,0.864114409,0.001941399,0.003805095
138,Southern,0.939238663,0.851945339,0.003857366,0.007560486
139,Northern,0.846166513,0.865900463,0.001938914,0.003800225
139,Southern,0.945268031,0.847244898,0.0038375,0.007521548
140,Northern,0.855871969,0.856404487,0.001913864,0.003751127
140,Southern,0.94866912,0.840941838,0.003781969,0.007412704
141,Northern,0.878190952,0.842159252,0.00185794,0.003641517
141,Southern,0.980129122,0.817626613,0.003595883,0.007047966
142,Northern,0.890913863,0.840358655,0.00191376,0.003750925
142,Southern,0.987350682,0.814685709,0.003726364,0.007303724
143,Northern,0.856054874,0.86570027,0.002017642,0.003954532
143,Southern,0.95058459,0.85878169,0.004087352,0.008011282
144,Northern,0.845001674,0.863065064,0.001939306,0.003800992
144,Southern,0.928458047,0.862724696,0.003891639,0.00762766
145,Northern,0.843970864,0.863556468,0.001929033,0.003780859
145,Southern,0.946353422,0.836458357,0.003707136,0.007266026
146,Northern,0.854370552,0.853653223,0.001879801,0.003684364
146,Southern,0.961482083,0.83737233,0.003690369,0.007233161
147,Northern,0.864060627,0.850769329,0.001875457,0.00367585
147,Southern,0.962116359,0.835415373,0.003708784,0.007269256
148,Northern,0.891409508,0.834040964,0.001825253,0.003577452
148,Southern,0.986041967,0.814516516,0.003578987,0.00701485
149,Northern,0.898066462,0.836529549,0.001904235,0.003732256
149,Southern,0.992444173,0.82434956,0.003757344,0.007364443
150,Northern,0.864756026,0.866435305,0.002018911,0.00395702
150,Southern,0.948908508,0.858924598,0.004058173,0.007954088
151,Northern,0.853167075,0.867072426,0.001964066,0.003849523
151,Southern,0.932161687,0.851547483,0.003791026,0.007430453
152,Northern,0.849850604,0.86224701,0.001912481,0.003748417
152,Southern,0.934499993,0.837919043,0.003678056,0.007209026
153,Northern,0.852895058,0.862157273,0.001898113,0.003720256
153,Southern,0.940165808,0.847259414,0.003708744,0.007269174
154,Northern,0.861053372,0.851860311,0.001871023,0.00366716
154,Southern,0.952287073,0.837906406,0.003641867,0.007138091
155,Northern,0.885312357,0.841907678,0.001833252,0.003593128
155,Southern,0.972272205,0.826593248,0.003545032,0.00694829
156,Northern,0.895822148,0.83377838,0.001869576,0.003664323
156,Southern,0.991036009,0.817561348,0.003638785,0.007132058
157,Northern,0.863980089,0.859104165,0.001976431,0.003873758
157,Southern,0.95884671,0.857218268,0.003977693,0.007796339
158,Northern,0.852480465,0.866009871,0.001921097,0.003765303
158,Southern,0.932899515,0.849297357,0.003732031,0.007314817
159,Northern,0.856513327,0.852217823,0.001873241,0.003671507
159,Southern,0.935249055,0.845125999,0.003676894,0.007206746
160,Northern,0.856817229,0.857666061,0.001875295,0.003675532
160,Southern,0.940883818,0.845263308,0.003662651,0.007178827
161,Northern,0.864178167,0.852130642,0.001861071,0.003647653
161,Southern,0.949648449,0.83821643,0.003611995,0.00707954
162,Northern,0.890310713,0.836141622,0.001817686,0.00356262
162,Southern,0.974368725,0.825049764,0.003521323,0.006901818
163,Northern,0.893847331,0.834620421,0.001878209,0.003681245
163,Southern,0.9893857,0.819064653,0.003634477,0.007123613
164,Northern,0.858616559,0.867600948,0.002004029,0.003927849
164,Southern,0.948550026,0.851135841,0.003950022,0.007742103
165,Northern,0.846500687,0.863627852,0.001921766,0.003766614
165,Southern,0.935362723,0.8484452,0.003719641,0.007290533
166,Northern,0.853075332,0.855104659,0.001877171,0.00367921
166,Southern,0.939791189,0.843960168,0.003652925,0.007159765
167,Northern,0.855595593,0.854562817,0.001867728,0.003660702
167,Southern,0.947565782,0.836069508,0.003588843,0.00703416
168,Northern,0.86784398,0.851667958,0.00185924,0.003644065
168,Southern,0.95914888,0.833971958,0.003548945,0.006955958
169,Northern,0.887242077,0.837542756,0.001809066,0.003545724
169,Southern,0.982322393,0.819020502,0.003445584,0.006753366
170,Northern,0.897067367,0.832683404,0.001855846,0.003637412
170,Southern,0.992993857,0.822999514,0.00359766,0.007051446
171,Northern,0.864896006,0.860384104,0.001967781,0.003856805
171,Southern,0.960673369,0.858269493,0.003895274,0.007634787
172,Northern,0.85162358,0.8587655,0.001890284,0.003704911
172,Southern,0.945960247,0.8442857,0.003643633,0.007141551
173,Northern,0.8562617,0.856909126,0.00187123,0.003667565
173,Southern,0.938593551,0.848845137,0.003621596,0.007098353
174,Northern,0.865107732,0.849971381,0.00185812,0.003641868
174,Southern,0.941184131,0.843859252,0.003596888,0.007049925
175,Northern,0.873408602,0.845718932,0.001830612,0.003587954
175,Southern,0.962369843,0.82822793,0.003469826,0.006800879
176,Northern,0.891690218,0.829406578,0.001791513,0.00351132
176,Southern,0.979321151,0.812378969,0.003370171,0.006605551
177,Northern,0.901019433,0.829982686,0.001855499,0.003636733
177,Southern,0.99553028,0.818539574,0.003519274,0.006897805
178,Northern,0.869357957,0.859350001,0.0019745,0.003869974
178,Southern,0.965167603,0.843864072,0.003820933,0.007489077
179,Northern,0.856559725,0.855106943,0.001888344,0.003701107
179,Southern,0.9396538,0.846017164,0.00361526,0.007085936
180,Northern,0.853863676,0.851749107,0.001848251,0.003622527
180,Southern,0.942625139,0.838348816,0.003512659,0.006884831
181,Northern,0.856578083,0.850579684,0.001835667,0.003597862
181,Southern,0.941934908,0.839422233,0.003490299,0.006841003
182,Northern,0.866993363,0.844442934,0.001824983,0.003576922
182,Southern,0.9510915,0.83194093,0.003454834,0.006771491
183,Northern,0.887563519,0.834081809,0.001787005,0.003502486
183,Southern,0.994217229,0.801714978,0.003274789,0.006418599
184,Northern,0.895933601,0.830975048,0.001852139,0.003630148
184,Southern,1.005779309,0.807431797,0.00343175,0.006726254
185,Northern,0.873566527,0.849343684,0.00194115,0.003804609
185,Southern,0.962701821,0.840061179,0.003723396,0.007297896
186,Northern,0.867311387,0.850501982,0.001893463,0.003711141
186,Southern,0.947967754,0.830221762,0.003506856,0.00687346
187,Northern,0.855017164,0.849395684,0.001862831,0.003651102
187,Southern,0.955757509,0.832036249,0.003490317,0.006841041
188,Northern,0.864064673,0.847812829,0.00185957,0.003644711
188,Southern,0.95840974,0.825980636,0.003494589,0.006849417
189,Northern,0.867777962,0.851699977,0.00186601,0.003657333
189,Southern,0.971748983,0.819834762,0.00344098,0.006744341
190,Northern,0.885081815,0.832557715,0.00180147,0.003530836
190,Southern,0.988816385,0.808030197,0.00335288,0.006571661
191,Northern,0.893657133,0.83204263,0.001850606,0.003627144
191,Southern,1.005831751,0.799881654,0.003419172,0.006701602
192,Northern,0.869546415,0.857605866,0.001967996,0.003857225
192,Southern,0.972717818,0.835060001,0.003718804,0.007288898
193,Northern,0.854703074,0.856416452,0.00187719,0.003679247
193,Southern,0.949012603,0.830665492,0.003466768,0.006794884
194,Northern,0.855986424,0.851586996,0.001848587,0.003623185
194,Southern,0.957213338,0.827593369,0.003404639,0.006673106
